Date Time,Water Level,SiteID,Source,Date,Time,Identifier
2017-04-21 00:12:00-04:00,2.106,8557380,NOAA,2017-04-21,00:12:00,8557380-2017-111
2017-04-22 00:54:00-04:00,2.539,8557380,NOAA,2017-04-22,00:54:00,8557380-2017-112
2017-04-23 02:06:00-04:00,2.261,8557380,NOAA,2017-04-23,02:06:00,8557380-2017-113
2017-04-24 15:06:00-04:00,3.012,8557380,NOAA,2017-04-24,15:06:00,8557380-2017-114
2017-04-25 16:00:00-04:00,3.596,8557380,NOAA,2017-04-25,16:00:00,8557380-2017-115
2017-04-26 16:36:00-04:00,3.415,8557380,NOAA,2017-04-26,16:36:00,8557380-2017-116
2017-04-27 17:18:00-04:00,3.163,8557380,NOAA,2017-04-27,17:18:00,8557380-2017-117
2017-04-28 18:12:00-04:00,2.966,8557380,NOAA,2017-04-28,18:12:00,8557380-2017-118
2017-04-29 19:00:00-04:00,2.674,8557380,NOAA,2017-04-29,19:00:00,8557380-2017-119
2017-04-30 07:48:00-04:00,1.558,8557380,NOAA,2017-04-30,07:48:00,8557380-2017-120
2017-04-30 20:06:00-04:00,2.946,8557380,NOAA,2017-04-30,20:06:00,8557380-2017-121
2017-05-01 20:54:00-04:00,2.29,8557380,NOAA,2017-05-01,20:54:00,8557380-2017-122
2017-05-02 22:00:00-04:00,2.3,8557380,NOAA,2017-05-02,22:00:00,8557380-2017-123
2017-05-03 23:30:00-04:00,1.992,8557380,NOAA,2017-05-03,23:30:00,8557380-2017-124
2017-05-05 00:12:00-04:00,2.395,8557380,NOAA,2017-05-05,00:12:00,8557380-2017-125
2017-05-06 01:18:00-04:00,2.477,8557380,NOAA,2017-05-06,01:18:00,8557380-2017-126
2017-05-07 14:48:00-04:00,2.149,8557380,NOAA,2017-05-07,14:48:00,8557380-2017-127
2017-05-08 15:18:00-04:00,2.221,8557380,NOAA,2017-05-08,15:18:00,8557380-2017-128
2017-05-09 16:00:00-04:00,2.635,8557380,NOAA,2017-05-09,16:00:00,8557380-2017-129
2017-05-10 16:24:00-04:00,2.789,8557380,NOAA,2017-05-10,16:24:00,8557380-2017-130
2017-05-11 17:00:00-04:00,2.973,8557380,NOAA,2017-05-11,17:00:00,8557380-2017-131
2017-05-12 17:48:00-04:00,3.084,8557380,NOAA,2017-05-12,17:48:00,8557380-2017-132
2017-05-13 18:30:00-04:00,3.071,8557380,NOAA,2017-05-13,18:30:00,8557380-2017-133
2017-05-14 19:12:00-04:00,2.887,8557380,NOAA,2017-05-14,19:12:00,8557380-2017-134
2017-05-15 19:42:00-04:00,2.566,8557380,NOAA,2017-05-15,19:42:00,8557380-2017-135
2017-05-16 08:24:00-04:00,1.362,8557380,NOAA,2017-05-16,08:24:00,8557380-2017-136
2017-05-16 20:30:00-04:00,2.077,8557380,NOAA,2017-05-16,20:30:00,8557380-2017-137
2017-05-17 21:18:00-04:00,1.795,8557380,NOAA,2017-05-17,21:18:00,8557380-2017-138
2017-05-18 22:12:00-04:00,1.585,8557380,NOAA,2017-05-18,22:12:00,8557380-2017-139
2017-05-20 11:54:00-04:00,2.179,8557380,NOAA,2017-05-20,11:54:00,8557380-2017-140
2017-05-21 00:12:00-04:00,2.011,8557380,NOAA,2017-05-21,00:12:00,8557380-2017-141
2017-05-22 13:42:00-04:00,2.5,8557380,NOAA,2017-05-22,13:42:00,8557380-2017-142
2017-05-23 14:30:00-04:00,3.081,8557380,NOAA,2017-05-23,14:30:00,8557380-2017-143
2017-05-24 15:06:00-04:00,3.803,8557380,NOAA,2017-05-24,15:06:00,8557380-2017-144
2017-05-25 16:36:00-04:00,4.15,8557380,NOAA,2017-05-25,16:36:00,8557380-2017-145
2017-05-26 17:00:00-04:00,3.675,8557380,NOAA,2017-05-26,17:00:00,8557380-2017-146
2017-05-27 18:06:00-04:00,3.724,8557380,NOAA,2017-05-27,18:06:00,8557380-2017-147
2017-05-28 18:42:00-04:00,4.016,8557380,NOAA,2017-05-28,18:42:00,8557380-2017-148
2017-05-29 19:36:00-04:00,3.622,8557380,NOAA,2017-05-29,19:36:00,8557380-2017-149
2017-05-30 08:36:00-04:00,2.28,8557380,NOAA,2017-05-30,08:36:00,8557380-2017-150
2017-05-30 20:42:00-04:00,2.904,8557380,NOAA,2017-05-30,20:42:00,8557380-2017-151
2017-05-31 21:42:00-04:00,2.398,8557380,NOAA,2017-05-31,21:42:00,8557380-2017-152
2017-06-01 22:54:00-04:00,2.07,8557380,NOAA,2017-06-01,22:54:00,8557380-2017-153
2017-06-03 12:42:00-04:00,1.864,8557380,NOAA,2017-06-03,12:42:00,8557380-2017-154
2017-06-04 13:18:00-04:00,2.238,8557380,NOAA,2017-06-04,13:18:00,8557380-2017-155
2017-06-05 13:54:00-04:00,2.539,8557380,NOAA,2017-06-05,13:54:00,8557380-2017-156
2017-06-06 14:54:00-04:00,3.232,8557380,NOAA,2017-06-06,14:54:00,8557380-2017-157
2017-06-07 15:24:00-04:00,3.081,8557380,NOAA,2017-06-07,15:24:00,8557380-2017-158
2017-06-08 16:06:00-04:00,3.074,8557380,NOAA,2017-06-08,16:06:00,8557380-2017-159
2017-06-09 16:36:00-04:00,2.572,8557380,NOAA,2017-06-09,16:36:00,8557380-2017-160
2017-06-10 17:12:00-04:00,2.1,8557380,NOAA,2017-06-10,17:12:00,8557380-2017-161
2017-06-11 17:54:00-04:00,2.349,8557380,NOAA,2017-06-11,17:54:00,8557380-2017-162
2017-06-12 18:42:00-04:00,2.139,8557380,NOAA,2017-06-12,18:42:00,8557380-2017-163
2017-06-13 19:18:00-04:00,2.326,8557380,NOAA,2017-06-13,19:18:00,8557380-2017-164
2017-06-14 19:54:00-04:00,2.608,8557380,NOAA,2017-06-14,19:54:00,8557380-2017-165
2017-06-15 08:42:00-04:00,1.739,8557380,NOAA,2017-06-15,08:42:00,8557380-2017-166
2017-06-15 20:54:00-04:00,2.658,8557380,NOAA,2017-06-15,20:54:00,8557380-2017-167
2017-06-16 21:48:00-04:00,2.454,8557380,NOAA,2017-06-16,21:48:00,8557380-2017-168
2017-06-18 11:18:00-04:00,1.972,8557380,NOAA,2017-06-18,11:18:00,8557380-2017-169
2017-06-19 12:18:00-04:00,1.883,8557380,NOAA,2017-06-19,12:18:00,8557380-2017-170
2017-06-20 13:12:00-04:00,2.336,8557380,NOAA,2017-06-20,13:12:00,8557380-2017-171
2017-06-21 14:18:00-04:00,2.625,8557380,NOAA,2017-06-21,14:18:00,8557380-2017-172
2017-06-22 14:54:00-04:00,3.34,8557380,NOAA,2017-06-22,14:54:00,8557380-2017-173
2017-06-23 15:54:00-04:00,3.353,8557380,NOAA,2017-06-23,15:54:00,8557380-2017-174
2017-06-24 16:54:00-04:00,3.369,8557380,NOAA,2017-06-24,16:54:00,8557380-2017-175
2017-06-25 17:42:00-04:00,3.409,8557380,NOAA,2017-06-25,17:42:00,8557380-2017-176
